news_title,news_link,date,image
How to find a great career in your golden years,https://www.cnbc.com/2020/01/10/how-to-find-a-great-career-in-your-golden-years.html,"Sun, Jan 12th 2020",https://image.cnbcfm.com/api/v1/image/101510970-103300230.jpg?v=1532564518&w=820&h=410
"In several states, it could soon be harder to be freelancer",https://www.cnbc.com/2020/01/11/heres-why-freelancers-are-fighting-the-bills-aimed-to-help-them.html,"Sat, Jan 11th 2020",https://image.cnbcfm.com/api/v1/image/106331248-1578689380663halleybondy.jpg?v=1578689475&w=380&h=410
Meet the robots that may be coming to an airport near you,https://www.cnbc.com/2020/01/10/meet-the-robots-that-may-be-coming-to-an-airport-near-you.html,5 hours ago,https://image.cnbcfm.com/api/v1/image/106328864-1578670951519preview-1.jpg?v=1578671880&w=380&h=190
Manufacturing jobs are ‘tough to fill’ and stand out as the weak spot in the employment picture,https://www.cnbc.com/2020/01/10/manufacturing-jobs-tough-to-fill-weak-spot-in-employment-picture.html,"Fri, Jan 10th 2020",https://image.cnbcfm.com/api/v1/image/106251406-1574092775497rtx79ehp.jpg?v=1574092813&w=380&h=190
December jobs report is not as disappointing as it appears,https://www.cnbc.com/2020/01/10/december-jobs-report-is-not-as-disappointing-as-it-appears.html,"Fri, Jan 10th 2020",https://image.cnbcfm.com/api/v1/image/106158603-1569953753081gettyimages-625640948.jpg?v=1578684361&w=380&h=190
Here’s where the jobs are — in one chart,https://www.cnbc.com/2020/01/10/heres-where-the-jobs-are-for-december-2019-in-one-chart.html,"Fri, Jan 10th 2020",https://image.cnbcfm.com/api/v1/image/106330536-1578668437628thumb.jpg?v=1578668453&w=380&h=190
"Job market ends 2019 with disappointing 145,000 growth in payrolls",https://www.cnbc.com/2020/01/10/us-nonfarm-payrolls-december-2019.html,"Fri, Jan 10th 2020",https://image.cnbcfm.com/api/v1/image/105755586-1550850029630rtx6nw0x.jpg?v=1578594601&w=380&h=190
5 things to know before the stock market opens on jobs Friday,https://www.cnbc.com/2020/01/10/5-things-to-know-before-the-stock-market-opens-january-10-2020.html,"Fri, Jan 10th 2020",https://image.cnbcfm.com/api/v1/image/106213911-1572468383616trade.jpg?v=1578662636&w=380&h=190
"Private payroll growth surges in December to end 2019 strong, ADP says",https://www.cnbc.com/2020/01/08/adp-moodys-private-payrolls-december-2019.html,"Wed, Jan 8th 2020",https://image.cnbcfm.com/api/v1/image/104557443-RTX39HTG-job-fair.jpg?v=1548794412&w=380&h=190
UBS to cut up to 500 jobs in European private banking overhaul,https://www.cnbc.com/2020/01/07/ubs-to-cut-up-to-500-jobs-in-european-private-banking-overhaul.html,"Tue, Jan 7th 2020",https://image.cnbcfm.com/api/v1/image/105563755-1541724233619gettyimages-1053792946.jpeg?v=1574316071&w=380&h=190
UK court rules ‘ethical veganism’ beliefs must be protected in law,https://www.cnbc.com/2020/01/03/uk-court-rules-ethical-veganism-beliefs-must-be-protected-in-law.html,"Fri, Jan 3rd 2020",https://image.cnbcfm.com/api/v1/image/105955702-1559936969247gettyimages-1042105236.jpeg?v=1578058492&w=380&h=190
"‘The days of a national minimum wage are really over,’ LaSalle Network CEO declares",https://www.cnbc.com/2019/12/30/lasalle-network-ceo-the-days-of-a-national-minimum-wage-are-over.html,"Mon, Dec 30th 2019",https://image.cnbcfm.com/api/v1/image/106007399-1562610404555gettyimages-1151237685.jpeg?v=1562610448&w=380&h=190
Companies will pay more wages when new overtime rule goes into effect Jan. 1,https://www.cnbc.com/2019/12/30/companies-will-pay-more-wages-as-overtime-rules-go-into-effect-jan-1.html,"Thu, Jan 2nd 2020",https://image.cnbcfm.com/api/v1/image/106293415-1576176379029gettyimages-909599970.jpeg?v=1576176454&w=380&h=190
The 10 most dangerous jobs in America,https://www.cnbc.com/2019/12/27/the-10-most-dangerous-jobs-in-america-according-to-bls-data.html,"Sat, Dec 28th 2019",https://image.cnbcfm.com/api/v1/image/103717209-GettyImages-479065992.jpg?v=1529471855&w=380&h=190
"US Steel sinks after it says it will lay off 1,500 and cut its dividend to 1 cent",https://www.cnbc.com/2019/12/20/us-steel-says-it-will-lay-off-1500-workers-board-cuts-dividend.html,"Fri, Dec 20th 2019",https://image.cnbcfm.com/api/v1/image/105358369-1532695599104gettyimages-1463817.jpeg?v=1576856755&w=380&h=190
8 tips for December college graduates on how to land that first job,https://www.cnbc.com/2019/12/19/8-tips-for-december-college-graduates-on-how-to-land-that-first-job.html,"Thu, Dec 19th 2019",https://image.cnbcfm.com/api/v1/image/106303140-1576689764157tom.jpg?v=1576689816&w=380&h=190
Workers are losing as much as $400 million annually in this tax-advantaged account,https://www.cnbc.com/2019/12/18/workers-lose-much-as-400-million-in-this-tax-advantaged-account.html,"Wed, Dec 18th 2019",https://image.cnbcfm.com/api/v1/image/106303431-1576699754435gettyimages-506618132.jpeg?v=1576699772&w=380&h=190
Here are the 10 best cities for job hunting in 2020,https://www.cnbc.com/2019/12/17/here-are-the-10-best-cities-for-jobs-in-2020.html,"Tue, Dec 17th 2019",https://image.cnbcfm.com/api/v1/image/103900094-1576508349080gettyimages-85704540.jpg?v=1576508362&w=380&h=190
"All the 2020 Democrats in next week’s debate threaten to skip event, refuse to cross picket line",https://www.cnbc.com/2019/12/13/warren-biden-and-sanders-threaten-to-skip-2020-democratic-debate.html,"Fri, Dec 13th 2019",https://image.cnbcfm.com/api/v1/image/106156289-1569867021054rtx75d0v.jpg?v=1576267094&w=380&h=190
A majority of big U.S. companies say they’ll have less employees in 2020,https://www.cnbc.com/2019/12/12/60percent-of-big-us-corporations-say-head-count-reduction-is-coming-in-2020.html,"Thu, Dec 12th 2019",https://image.cnbcfm.com/api/v1/image/104346750-empty_office.jpg?v=1529474529&w=380&h=190
