availability,category,coursePictureUrl,credits,endDate,enrolled,enrollmentEndDate,estimatedWorkload,examDate,explorerInstructorName,explorerSummary,featured,id,instructorInstitute,name,ncCode,nodeCode,openForRegistration,showInExplorer,startDate,title,url,weeks
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/cec20_cs08/d.jpg,4,2020-04-18T00:00:00.000000Z,False,2020-02-28T00:00:00.000000Z,,2020-05-09T00:00:00.000000Z,Dr. Abhishek Kumar,,True,Q291cnNlTGlzdDovbmQyX2NlYzIwX2NzMDg=,Banaras Hindu University II BHU,COMP_SCI_ENGG,CEC,nd2,True,True,2020-01-06T00:00:00.000000Z, ANIMATIONs,/nd2_cec20_cs08/preview,15
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ae03.jpg,1,2020-02-21T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-03-29T00:00:00.000000Z,"Prof. A.K. Ghosh, Prof. Vipul Mathur",,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2FlMDM=,IIT Kanpur,AERO_COURSES,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z, Aircraft Maintenance,/nd1_noc20_ae03/preview,4
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ph06.jpg,1,2020-02-21T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-03-29T00:00:00.000000Z,Prof. Saurabh Basu,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX3BoMDY=,IIT Guwahati,Physics,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,A brief course on Superconductivity,/nd1_noc20_ph06/preview,4
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ee52.jpg,1,2020-02-21T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-03-29T00:00:00.000000Z,Prof. Santanu Talukder,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2VlNTI=,IISER Bhopal,ELEC_ENGG,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,A brief introduction of Micro-Sensors,/nd1_noc20_ee52/preview,4
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/ntr19_ed17/cue-essay-page-banner-17.png,3,2020-03-22T18:30:00.000000Z,False,2020-02-16T18:30:00.000000Z,,,Dr. P. Malliga ,,True,Q291cnNlTGlzdDovbmQyX250cjE5X2VkMTc=,"National Institute of Technical Teachers Training and Research, Chennai ",Education,NITTTR,nd2,True,True,2020-01-26T18:30:00.000000Z,AICTE - NITTT - Module 1 - Orientation Towards Technical Education and Curriculum Aspects,/nd2_ntr19_ed17/preview,8
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/ntr19_ge06/M2 CP.JPG,3,2020-03-22T18:30:00.000000Z,False,2020-02-16T18:30:00.000000Z,,,Prof. Shashi Kant Gupta,,True,Q291cnNlTGlzdDovbmQyX250cjE5X2dlMDY=,"National Institute of Technical Teachers Training and Research, Bhopal  ",Multidisciplinary,NITTTR,nd2,True,True,2020-01-26T18:30:00.000000Z,AICTE - NITTT - Module 2 Professional Ethics & Sustainability,/nd2_ntr19_ge06/preview,8
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/ntr19_ed20/CSMKD -Cp.JPG,3,2020-03-22T18:30:00.000000Z,False,2020-02-16T18:30:00.000000Z,,,Er. Amandeep Kaur,,True,Q291cnNlTGlzdDovbmQyX250cjE5X2VkMjA=,"National Institute of Technical Teachers Training and Research, Chandigarh ",Education,NITTTR,nd2,True,True,2020-01-26T18:30:00.000000Z,"AICTE - NITTT - Module 3 - Communication Skills, Modes & Knowledge Dissemination ",/nd2_ntr19_ed20/preview,8
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/ntr19_ge07/IP&D CP.JPG,3,2020-03-22T18:30:00.000000Z,False,2020-02-16T18:30:00.000000Z,,,Dr. Kiran Saksena,,True,Q291cnNlTGlzdDovbmQyX250cjE5X2dlMDc=,"National Institute of Technical Teachers Training and Research, Bhopal ",Multidisciplinary,NITTTR,nd2,True,True,2020-01-26T18:30:00.000000Z,AICTE - NITTT - Module 4 Instructional Planning and Delivery,/nd2_ntr19_ge07/preview,8
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/ntr19_ed15/giphy.gif,3,2020-03-23T00:00:00.000000Z,False,2020-02-16T19:00:00.000000Z,,,Dr. G. Janardhanan,,True,Q291cnNlTGlzdDovbmQyX250cjE5X2VkMTU=,"National Institute of Technical Teachers Training and Research, Chennai  ",Education,NITTTR,nd2,True,True,2020-01-26T19:00:00.000000Z,AICTE - NITTT - Module 5 - Technology Enabled Learning & Life Long Self Learning ,/nd2_ntr19_ed15/preview,8
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/ntr19_ed16/Neethi sir.JPG,3,2020-03-23T00:00:00.000000Z,False,2020-02-17T00:00:00.000000Z,,,Dr. V. Shanmuganeethi,,True,Q291cnNlTGlzdDovbmQyX250cjE5X2VkMTY=,"National Institute of Technical Teachers Training and Research, Chennai",Education,NITTTR,nd2,True,True,2020-01-27T00:00:00.000000Z,AICTE - NITTT - Module 6 Student Assessment and Evaluation,/nd2_ntr19_ed16/preview,8
